old,new,note
/blog/2022/spring-education-2022-bgrgt-267bt-xse3d-sgdlr-ajmyl,/news/2022/spring-education-2022-bgrgt-267bt-xse3d-sgdlr-ajmyl/,blog post -> news
/blog/20232024/rudolphjr,/shows/2023-2024/rudolphjr/,show -> custom post type
/blog/2022annualfund-gf5fk,/news/2022annualfund-gf5fk/,blog post -> news
/blog/2025/knockemdead,/news/2025/knockemdead/,blog post -> news
/blog/2022/kaleidoscope-page,/news/2022/kaleidoscope-page/,blog post -> news
/blog/2019/murdermystery2024,/news/2019/murdermystery2024/,blog post -> news
/blog/20232024/audmisery-4479k-ftkay-eg24m,/shows/2023-2024/audmisery-4479k-ftkay/,show -> custom post type
/blog/2018/offtheshelfrevolution-6xwxa-24bb7,/news/2018/offtheshelfrevolution-6xwxa-24bb7/,blog post -> news
/blog/2018/offtheshelfrevolution-6xwxa,/news/2018/offtheshelfrevolution-6xwxa/,blog post -> news
/blog/2019/summercamppoppins-rpwsh-6pgye,/news/2019/summercamppoppins-rpwsh-6pgye/,blog post -> news
/blog/20232024/audmisery-4479k-ftkay,/shows/2023-2024/audmisery-4479k-ftkay/,show -> custom post type
/blog/20222023/steel,/shows/2022-2023/steel/,show -> custom post type
/blog/20222023/murder,/shows/2022-2023/murder/,show -> custom post type
/blog/20232024/audmisery-4479k,/shows/2023-2024/audmisery/,show -> custom post type
/blog/20222023/xmasstory,/shows/2022-2023/xmasstory/,show -> custom post type
/blog/20222023/poboy,/shows/2022-2023/poboy/,show -> custom post type
/blog/20222023/rock,/shows/2022-2023/rock/,show -> custom post type
/blog/20222023/significant,/shows/2022-2023/significant/,show -> custom post type
/blog/2022/spring-education-2022-bgrgt-267bt-xse3d-sgdlr,/news/2022/spring-education-2022-bgrgt-267bt-xse3d-sgdlr/,blog post -> news
/blog/20222023/shawshank,/shows/2022-2023/shawshank/,show -> custom post type
/blog/20232024/fiddlerauditions-nrpky-twrnx,/shows/2023-2024/fiddlerauditions-nrpky-twrnx/,show -> custom post type
/blog/20222023/lion-br6d8-984h5-czra9-z26wf,/shows/2022-2023/lion/,show -> custom post type
/blog/2019/murdermystery2024-77bfe,/news/2019/murdermystery2024-77bfe/,blog post -> news
/blog/2021/russell-5tgd7-smmxm,/news/2021/russell-5tgd7-smmxm/,blog post -> news
/blog/2021/russell-5tgd7-fbr6k,/news/2021/russell-5tgd7-fbr6k/,blog post -> news
/blog/2021/russell-5tgd7,/news/2021/russell-5tgd7/,blog post -> news
/blog/2021/russell-wgwef,/news/2021/russell-wgwef/,blog post -> news
/blog/20232024/audmisery,/shows/2023-2024/audmisery/,show -> custom post type
